river,station,target,n,point_dSE,point_DM,point_p,point_sig5,crps_n,crps_d,crps_DM,crps_p,crps_sig5
nak,S02008,toc,405,0.12335354994564628,2.672469729632021,0.007834351280915431,True,371,0.03131944190252418,1.6756730339950463,0.09464704944026404,False
nak,S02009,toc,293,0.10304265422875523,1.343702781681015,0.18008772059358472,False,259,0.06019106135129486,2.208178959179525,0.02811157852322249,True
nak,S02010,toc,385,0.34105478153055124,2.0190855996175823,0.04417274629798275,True,352,0.036022092855542566,1.0121440395350514,0.31216638250509027,False
nak,S02011,toc,349,0.4836434992214987,3.7213127571458915,0.00023102028340470706,True,315,0.0695831715527782,3.0318725423011146,0.002632860854264122,True
nak,S02012,toc,420,0.1021137324696819,1.372405920359083,0.17067130737453562,False,387,0.0412887136756849,2.0040782243626127,0.0457599118630904,True
nak,S02013,toc,430,0.018990652175678666,1.0681157951050124,0.2860689452681581,False,396,0.015294004754746425,1.3819791871208522,0.16775911590288753,False
nak,S02014,toc,306,0.10084074753060526,0.9020248905024668,0.36775541625571334,False,272,0.05940441680036096,2.0362876101201812,0.04269368953271915,True
nak,S02015,toc,359,-0.07103822300965537,-0.6950280210245287,0.4874885933731664,False,325,0.0055299052608559955,0.2811029363557748,0.7788108778706322,False
nak,S02017,toc,380,0.013379787830445493,0.29906556145431695,0.765053943563015,False,346,0.024705388021193767,1.3326109463656481,0.18353896855838764,False
nak,S02018,toc,301,0.02300237236679744,0.9519465602393136,0.3418904063412507,False,267,0.026501393675787594,1.8047332680375379,0.0722473092776438,False
nak,S02019,toc,340,0.211025302124012,1.5841047410231557,0.11410228498748239,False,306,0.015513415917148223,0.6007538457766003,0.5484501100593945,False
nak,S02020,toc,378,0.04452156301784143,1.1569077840091442,0.24804255294075328,False,344,0.029824897729742835,1.8908635172795645,0.05948511481623439,False
nak,S02021,toc,385,0.0014284631278319625,0.032323456482559604,0.9742308972990833,False,351,0.031875159045869024,2.227127207637669,0.02657434743958937,True
nak,S02022,toc,414,0.1477527982779527,2.993041769953281,0.0029279655997905556,True,380,0.07094347168750803,3.869487068099996,0.00012837903132965946,True
nak,S02023,toc,399,0.15166945433790135,2.372639295641511,0.018135974797987373,True,365,0.04887751115661475,2.968081906428128,0.003194920719233295,True
nak,S02024,toc,384,0.1468350485351184,3.986194300754233,8.04056198746642e-05,True,350,0.03463937906374679,2.5300697885540973,0.011843226959402844,True
geum,S03002,toc,369,0.030288298972278336,0.5489364139908124,0.5833819900770403,False,335,0.028729640117182667,1.8367623127886035,0.06713344901239396,False
geum,S03003,toc,210,0.031444204261969845,1.7814380094316826,0.07629307951980699,False,176,0.02189331020047278,1.8257260389540562,0.06959603204242291,False
geum,S03004,toc,301,0.1663320858508466,3.094934990844522,0.0021542607572919738,True,267,0.06303155257380214,3.1310529087342904,0.0019361210278156435,True
geum,S03005,toc,397,0.06938671806366463,4.220131830623614,3.0302526506075028e-05,True,363,0.026944775956312325,2.2535433813258527,0.024822710378363755,True
geum,S03006,toc,336,-0.13026456143077716,-0.6411110372776578,0.521888891500273,False,306,0.023467648382744198,0.5860168410218181,0.5582975976977397,False
geum,S03007,toc,411,0.17943912353938904,3.7075957237018056,0.00023800240943286323,True,377,0.05549929112506675,4.31535658903855,2.0397960169524768e-05,True
geum,S03008,toc,391,0.1350840532498703,7.30289090083202,1.5981934650908798e-12,True,357,0.051454265607676936,5.803687917278653,1.4357138303698313e-08,True
geum,S03009,toc,409,0.09755533153510618,9.880432991277312,8.7734558962e-21,True,375,0.028875167670032544,4.9429020286505105,1.1639431866211087e-06,True
geum,S03010,toc,372,0.9052296033985762,3.1403019211471004,0.0018231016404507297,True,338,0.16286498976962493,4.075710925486467,5.726415840972789e-05,True
geum,S03011,toc,365,0.0303477804386413,2.513188835189614,0.012395781478001295,True,331,0.018970384030612453,2.2435077041040814,0.025527027937475417,True
geum,S03012,toc,424,0.21357353304867904,3.542701846368776,0.0004401442217578288,True,390,0.0828711870396291,3.988366290131789,7.948627547674161e-05,True
geum,S03013,toc,140,0.7127592140799826,2.0160332222087596,0.04572350218741995,True,106,0.031432953973924004,0.7523446803324366,0.45352710908015115,False
geum,S03014,toc,374,0.0896994162508349,2.3163377987704834,0.02108116790257092,True,340,0.016914302765373358,1.3076729031570637,0.19187039472878353,False
yeong,S04001,toc,369,0.026312136399541566,2.713161948311912,0.006977661787640368,True,335,0.029046479880145346,3.3551516078957673,0.0008844921185129162,True
yeong,S04002,toc,403,0.31347277462658285,2.5096298816489337,0.012477979331761316,True,369,-0.022430964315840782,-1.073764857539842,0.28363165415334285,False
yeong,S04003,toc,379,0.0793594453020313,0.5075688975664405,0.6120517215602903,False,345,-0.013488337749600197,-0.4242508067049944,0.6716480996954017,False
yeong,S04004,toc,397,0.1497099967608145,3.780548227552075,0.00018058834801138935,True,363,0.07643303273757716,4.592017395510136,6.066286345743336e-06,True
yeong,S04005,toc,144,-0.1596376232494198,-0.74853398035119,0.455367522055884,False,110,-0.01023276048387457,-0.19358829107277709,0.8468585599128722,False
yeong,S04006,toc,342,0.25301874334219576,3.033262533057616,0.002604810791620264,True,308,0.07452230479956808,3.6850680922140686,0.00027020364138017564,True
yeong,S04007,toc,333,0.10698873634886129,7.059179992855161,9.841637606808832e-12,True,299,0.023863743148140236,3.408743799940996,0.00074252119442586,True
yeong,S04008,toc,411,0.03345058918725072,1.1539432248325059,0.24919564561189475,False,377,0.024551052749292094,1.9049424137392148,0.05755027901536083,False
yeong,S04009,toc,353,0.3273723137358521,1.580807680126902,0.11482013034866864,False,319,0.04582445974324625,1.038409247570555,0.29986848067961763,False
han,S01001,tn,384,0.14353172743122208,3.680219884191664,0.00026643783120491394,True,350,0.08293393940738077,4.449532514398537,1.158960110899405e-05,True
