mode,river,station,target,nse,rmse,mae,crps,cov80,cov90,calib,n
zs512,han,S01016,do,0.8003339766173827,1.1011519633784845,0.822389033110863,0.5232351373588331,0.7853403141361257,0.8769633507853403,0.030216903515332825,382
zs512,han,S01016,toc,0.5454507307949503,0.8028437365076472,0.47279749012985706,0.2979430996303684,0.75,0.875,0.031231003039513667,376
zs512,han,S01016,tn,0.7985645322862424,0.4655920976910169,0.3455555265483255,0.21299743017656161,0.7968337730870713,0.920844327176781,0.02657369016208067,379
zs512,han,S01016,tp,0.20248837341652026,0.012892889671978441,0.009192497258429775,0.00593695858950358,0.8445040214477212,0.9329758713136729,0.015664496361547302,373
zs512,han,S01017,do,0.10007816282388227,0.9932333558869337,0.77495061936266,0.4873873243484463,0.855595667870036,0.9458483754512635,0.026869520371325426,277
zs512,han,S01017,toc,0.13613781666413616,1.333917557622218,1.0286517741675,0.6251785262648408,0.7429906542056075,0.8691588785046729,0.021228304405874487,214
zs512,han,S01017,tn,0.19512562998658733,0.7279956273214426,0.5634417843827507,0.3585628132658933,0.7918552036199095,0.8868778280542986,0.07659987071751777,221
zs512,han,S01017,tp,-0.4731872955984464,0.03415477376532939,0.022250088119224146,0.014279513242536323,0.7288888888888889,0.8622222222222222,0.03936507936507936,225
zs512,han,S01018,do,0.8626237505455701,0.7479553499039935,0.5947670267526128,0.3493084989980238,0.7796143250688705,0.8980716253443526,0.023219205037386843,363
zs512,han,S01018,toc,0.5767887099171594,0.24053381582119968,0.16902528118928542,0.10472517196889199,0.7420289855072464,0.8782608695652174,0.03519668737060042,345
zs512,han,S01018,tn,0.7055037241593676,0.26196553913648246,0.1874625636555479,0.11935592726133357,0.7584269662921348,0.8426966292134831,0.036597110754414124,356
zs512,han,S01018,tp,0.22495589515671133,0.007170916775508598,0.003534787293663316,0.002441784497440098,0.7902298850574713,0.853448275862069,0.01978653530377667,348
zs512,han,S01019,do,0.7698737439302861,0.8877406692578372,0.635457449042114,0.39250634817604785,0.7919254658385093,0.8819875776397516,0.026175687666370875,322
zs512,han,S01019,toc,0.03682820259844877,0.24582322521282193,0.16575333463482508,0.10706209112568323,0.7358490566037735,0.8427672955974843,0.053099730458221014,318
zs512,han,S01019,tn,0.27043198351275954,0.25623007931258807,0.17456088168244807,0.11342481459195189,0.819672131147541,0.9180327868852459,0.03372365339578456,305
zs512,han,S01019,tp,0.32545073473635844,0.00362196906621952,0.002138489646648349,0.0013912559273241431,0.864951768488746,0.9196141479099679,0.030408819476343583,311
zs512,han,S01020,do,0.4880433720150118,1.2393137350841557,0.8297573756973061,0.500017411621921,0.7588832487309645,0.8654822335025381,0.028861493836113115,394
zs512,han,S01020,toc,0.012321613878832238,0.26027509962637835,0.18481710499389645,0.11539229409150074,0.7654986522911051,0.862533692722372,0.015325375433192148,371
zs512,han,S01020,tn,0.6586522360175598,0.2971830823894219,0.21754254661850178,0.1332677932884593,0.7994987468671679,0.9122807017543859,0.01750805585392052,399
zs512,han,S01020,tp,0.0807691439873055,0.018752551215780542,0.008497405129156393,0.00602274646768385,0.8223350253807107,0.8908629441624365,0.025018129079042793,394
zs512,han,S01020,chl-a,0.6073731479674171,8.933375868830748,4.754103872163248,2.9445704513682744,0.7288135593220338,0.8765133171912833,0.03600830162573503,413
zs512,han,S01021,do,0.8235510965948458,0.8771024369036746,0.6914164212452532,0.40570864977611004,0.8194070080862533,0.9299191374663073,0.048710050057758955,371
zs512,han,S01021,toc,0.6275039237472106,0.33495879102005904,0.22030207950765382,0.1485429107629235,0.7987987987987988,0.9009009009009009,0.00815100815100815,333
zs512,han,S01021,tn,0.694549085112671,0.42644142123384454,0.2788316407952154,0.17055478613092706,0.8116343490304709,0.9196675900277008,0.014285714285714303,361
zs512,han,S01021,tp,0.1504849770587019,0.027523365892080064,0.009146071346630074,0.007096582253928871,0.7847025495750708,0.8441926345609065,0.016673411574261433,353
zs512,han,S01021,chl-a,0.22583387420114087,2.658344799834646,1.9159419102081967,1.1434925765037156,0.7707736389684814,0.8825214899713467,0.014040114613180502,349
zs512,han,S01022,do,0.49042360098832727,1.1972822697600367,0.931914021486238,0.5726077656046792,0.8722222222222222,0.9583333333333334,0.02896825396825396,360
zs512,han,S01022,toc,0.8908063902660239,0.5432772113101628,0.34595390092405587,0.21626863936167956,0.8580060422960725,0.9274924471299094,0.028182995252481653,331
zs512,han,S01022,tn,0.5469750915299239,1.0817031244104083,0.795007549136668,0.48267073169356006,0.7737430167597765,0.8770949720670391,0.038707102952913,358
zs512,han,S01022,tp,0.3748838569745041,0.03921055751401047,0.029042907338091135,0.01746346002424463,0.844574780058651,0.9178885630498533,0.01834939254294093,341
zs512,han,S01022,chl-a,0.28202124146633534,7.9994727978335005,5.012554408229015,3.0148641581818523,0.739010989010989,0.8653846153846154,0.02739403453689166,364
zs512,han,S01023,do,0.47677664378176343,1.4396098825193144,1.0513534100595139,0.6208420403374363,0.788135593220339,0.9209039548022598,0.01856335754640839,354
zs512,han,S01023,toc,0.6095560112919891,0.7619963702701718,0.5327834047075409,0.32548519375530477,0.7921686746987951,0.9036144578313253,0.02280550774526679,332
zs512,han,S01023,tn,0.7855072572717017,0.6683492890381634,0.47006157904424134,0.2826657511486143,0.7522123893805309,0.8820058997050148,0.037715971344289924,339
zs512,han,S01023,tp,0.00672580235246345,0.03987235305267012,0.024256753593757566,0.01637649187139501,0.7768115942028986,0.8463768115942029,0.01490683229813664,345
zs512,han,S01023,chl-a,0.6076484566322222,28.572295982239922,15.369311507607721,9.40114748399509,0.708092485549133,0.8352601156069365,0.04095788604459124,346
zs512,nak,S02001,do,0.3287480635039862,1.6879766184733815,1.109399298070791,0.666373775557404,0.7798594847775175,0.8946135831381733,0.016728002676480416,427
zs512,nak,S02001,toc,0.09797157853441663,1.734794352715902,0.8210653672790087,0.6202269448165535,0.774818401937046,0.8716707021791767,0.03164994811483916,413
zs512,nak,S02001,chl-a,-0.602971432676819,0.6906148670668918,0.31010544233281834,0.2032582387611275,0.8554502369668247,0.9312796208530806,0.027217332430602564,422
zs512,nak,S02002,do,0.7141332897170132,1.5330909197729858,1.1194132132877408,0.6668864088247067,0.7701149425287356,0.8850574712643678,0.01658456486042693,348
zs512,nak,S02002,toc,0.5596108238590969,0.5122924492024106,0.3408778900072586,0.20135438324884128,0.8165137614678899,0.9327217125382263,0.05207514198339886,327
zs512,nak,S02002,tn,0.5446877316432595,0.3409762007270256,0.261369049016594,0.1517051235462619,0.7670807453416149,0.8819875776397516,0.02590949423247559,322
zs512,nak,S02002,tp,0.5687897930085151,0.014699845896073779,0.009221618497934464,0.005509561350794545,0.8452380952380952,0.9375,0.03392857142857143,336
zs512,nak,S02002,chl-a,0.38649503229339566,11.024710657688306,6.696002566726955,3.982845410030729,0.7598870056497176,0.8898305084745762,0.02711864406779659,354
zs512,nak,S02003,do,0.6705065072632046,1.2368380962054737,0.8556051229389469,0.5287088130879051,0.7535211267605634,0.8838028169014085,0.05734406438631791,284
zs512,nak,S02003,toc,0.45817136944993275,0.6044986741535311,0.3746474224078083,0.25139725344523517,0.8098765432098766,0.8888888888888888,0.0238095238095238,405
zs512,nak,S02003,chl-a,0.2078761988965867,5.72644456873376,4.0041931694987865,2.389174091925729,0.8294573643410853,0.917312661498708,0.012033960871170177,387
zs512,nak,S02004,do,0.5073798010030681,1.420067164148543,1.0872187749256,0.6462591942906217,0.8296703296703297,0.9230769230769231,0.029199372056514915,182
zs512,nak,S02004,toc,0.14573174303937408,0.9312864089997441,0.6529416415150926,0.4489403524050763,0.7803468208092486,0.8728323699421965,0.023286540049545817,173
zs512,nak,S02004,chl-a,0.43715600317538117,5.57477665678119,3.4804718731379216,2.2462408724799983,0.8176100628930818,0.9245283018867925,0.07322551662174304,159
zs512,nak,S02005,do,0.44042470500422537,1.6683676359111648,1.1295043271058154,0.6767559844332528,0.7593052109181141,0.8784119106699751,0.016979794399149248,403
