river,station,target,horizon,n,leg_crps,chr_crps,seas_crps,persist_crps,crps_clim,leg_crps_skill,chr_crps_skill,leg_crps_skill_seas,chr_crps_skill_seas,leg_crps_skill_persist,chr_crps_skill_persist,leg_cov80,chr_cov80,leg_cov90,chr_cov90,leg_nse,chr_nse
nak,S02009,chl-a,5,264,4.45357755686709,4.207340494786823,7.502138937603293,5.21155928370483,8.31240832985368,0.46422536283831894,0.49384819322742735,0.40635896057000065,0.43918120821540774,0.14544240707531586,0.19269065825614484,0.7651515151515151,0.7272727272727273,0.8560606060606061,0.8446969696969697,0.5665458847770624,0.5828850932434282
nak,S02009,do,1,274,0.4323117046685069,0.3399390469059519,0.6110984105210387,0.38725478372634087,1.4287125188184602,0.6974116913135002,0.7620661662661987,0.2925661444612392,0.44372454411048,-0.11634955289282134,0.12218244630859176,0.7664233576642335,0.5693430656934306,0.8467153284671532,0.7262773722627737,0.8600454781975594,0.9022182651780307
nak,S02009,do,2,273,0.5363521237395265,0.39977758388153234,0.617509931865348,0.49741813375436456,1.4310673087958456,0.6252083179855226,0.7206437590850143,0.1314275349072742,0.3525973215136782,-0.07827215644773489,0.1962947131337378,0.7875457875457875,0.6483516483516484,0.8864468864468864,0.7765567765567766,0.7976579672503517,0.8549642750944545
nak,S02009,do,3,272,0.6057694530917528,0.43330211393543383,0.6265053073904683,0.5540808501038913,1.4334399458196578,0.5774015822160121,0.6977186835074094,0.03309765145499699,0.30838237310353844,-0.09328711320409244,0.21798034735510385,0.8051470588235294,0.6948529411764706,0.8823529411764706,0.8345588235294118,0.7565527002833217,0.8316432046857227
nak,S02009,do,4,272,0.6478481505278655,0.4752387111864097,0.6360638767958671,0.6006745192335614,1.4326562690128313,0.5477993119911004,0.6682814144150069,-0.018526871532716038,0.2528443627699851,-0.0785344305173723,0.2088249193709818,0.7867647058823529,0.7389705882352942,0.8786764705882353,0.8382352941176471,0.7229747527760204,0.8104802789233847
nak,S02009,do,5,271,0.6704949075748938,0.52801850053663,0.6431963930437912,0.647016985792823,1.4338162201453453,0.5323703985529429,0.6317390659152224,-0.042441958360366794,0.17907111071022352,-0.03628640715405984,0.18391864181181894,0.7785977859778598,0.7195571955719557,0.8856088560885609,0.8597785977859779,0.7100555233851944,0.7717764404021596
nak,S02009,tn,1,233,0.07102059101547921,0.06392705765493724,0.22988900773956122,0.09995411569265701,0.37308269174986725,0.8096384726871895,0.8286517732701547,0.6910657377061817,0.721922077599467,0.289468067189387,0.36043596392265864,0.7124463519313304,0.6995708154506438,0.8583690987124464,0.8111587982832618,0.9285440007379895,0.9472247319660946
nak,S02009,tn,2,232,0.1039911741053177,0.09218175615746195,0.22731148164083953,0.12808874442908982,0.3724883292504496,0.7208203158617696,0.7525244446102315,0.5425168436074532,0.5944694236646062,0.18813183337207728,0.2803289893399342,0.728448275862069,0.6810344827586207,0.8189655172413793,0.7887931034482759,0.8572657110675752,0.9027852006360286
nak,S02009,tn,3,231,0.12369185059416662,0.11343974537384349,0.22302825625269168,0.14438681193666095,0.3704031435593195,0.6660615528108833,0.6937397877248948,0.4453982976308465,0.49136603908468024,0.1433299971438715,0.21433444057476103,0.70995670995671,0.6406926406926406,0.7922077922077922,0.7705627705627706,0.8144604348606167,0.8613865771082312
nak,S02009,tn,4,231,0.13750752296383356,0.13007776526802675,0.22003202250724205,0.1582174412361208,0.36923989258906603,0.6275929938131894,0.6477147570487658,0.37505676947859856,0.4088234803925168,0.13089529264589828,0.17785444985233279,0.683982683982684,0.6320346320346321,0.7705627705627706,0.7359307359307359,0.7886766314621031,0.8141238327649392
