[19:55:05] [tp] 어댑터 로드 models\chronos_lora512_tp\finetuned-ckpt | VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.20GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.82GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.45 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.81GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.46 reserved=1.10 peak=1.11/15.93GB, smi_used=2.86GB
[VRAM-MON] VRAM alloc=0.60 reserved=1.10 peak=1.11/15.93GB, smi_used=2.87GB
[20:02:43] [tp] pooledδ(d5)={80: 0.0, 90: 0.001} α*=0.35 thr=0.1(high)
tp replay:   0%|          | 0/48 [00:00<?, ?it/s]tp replay:  10%|█         | 5/48 [00:00<00:04,  8.89it/s]tp replay:  21%|██        | 10/48 [00:01<00:04,  8.87it/s]tp replay:  31%|███▏      | 15/48 [00:01<00:03,  8.96it/s]tp replay:  42%|████▏     | 20/48 [00:02<00:03,  9.10it/s]tp replay:  52%|█████▏    | 25/48 [00:02<00:02,  9.19it/s]tp replay:  62%|██████▎   | 30/48 [00:03<00:01,  9.09it/s]tp replay:  73%|███████▎  | 35/48 [00:03<00:01,  9.13it/s]tp replay:  83%|████████▎ | 40/48 [00:04<00:00,  9.04it/s]tp replay:  94%|█████████▍| 45/48 [00:04<00:00,  9.04it/s]tp replay: 100%|██████████| 48/48 [00:05<00:00,  9.05it/s]
[20:02:49] [chl-a] 어댑터 로드 models\chronos_lora512_chl-a\finetuned-ckpt | VRAM alloc=0.45 reserved=0.49 peak=1.11/15.93GB, smi_used=2.25GB
