river,station,target,n,nse,nse_persistence,coverage80_raw,coverage80_cal,rmse,median_abs_q50_minus_persistence
nak,S02001,toc,413,0.11306863536531842,-0.08176067628405481,0.7627118644067796,0.8062953995157385,1.7202156540944373,0.166053143414584
nak,S02002,chl-a,354,0.4714525123956168,0.28361429991993303,0.7090395480225988,0.8163841807909604,10.232933806809822,1.030057032903036
nak,S02002,do,348,0.7275310880433183,0.7159946769202772,0.7327586206896551,0.8045977011494253,1.4967339101872936,0.24375139583240824
nak,S02002,tn,322,0.586142619480368,0.5904701398478537,0.6987577639751553,0.8074534161490683,0.3250833626595924,0.06308565537134814
nak,S02002,toc,327,0.5548068706114249,0.5861114454220836,0.8012232415902141,0.8073394495412844,0.5150790229620101,0.08030132272026758
nak,S02002,tp,336,0.640075472057138,0.5950507113049266,0.7946428571428571,0.7827380952380952,0.013429937378016421,0.0017946846783161163
nak,S02003,chl-a,387,0.265416215397268,0.2273200277130063,0.8217054263565892,0.8268733850129198,5.514538821577606,0.6635847291436752
nak,S02003,do,284,0.6858066680168526,0.6298648367647786,0.75,0.8274647887323944,1.207780224844982,0.18251531020454692
nak,S02003,toc,405,0.4586042887745748,0.45850352177449183,0.7506172839506173,0.782716049382716,0.6042571296521035,0.07748192052046465
nak,S02004,chl-a,159,0.4120822573908476,0.2634311773259025,0.8238993710691824,0.8427672955974843,5.6975971238494445,1.0307139615296368
nak,S02004,do,182,0.5278885468776148,0.3532214390237396,0.8076923076923077,0.8461538461538461,1.3901928352817277,0.35385386567366783
nak,S02004,toc,173,0.1632527692978999,0.09224102806787349,0.7630057803468208,0.8208092485549133,0.9216865974263404,0.21088067293167123
